,PassengerId,Survived,Pclass,Age,Deck,Title,SexC,Family_Size,Fare_Per_Person
0,1,0,3,22.0,0,5,1,1,3.625
1,2,1,1,38.0,2,5,0,1,35.64165
2,3,1,3,26.0,0,2,0,0,7.925
3,4,1,1,35.0,2,5,0,1,26.55
4,5,0,3,35.0,0,5,1,0,8.05
5,6,0,3,28.0,0,5,1,0,8.4583
6,7,0,1,54.0,4,5,1,0,51.8625
7,8,0,3,2.0,0,5,1,4,4.215
8,9,1,3,27.0,0,5,0,2,3.7111
9,10,1,2,14.0,0,5,0,1,15.0354
10,11,1,3,4.0,7,2,0,2,5.566666666666666
11,12,1,1,58.0,2,2,0,0,26.55
12,13,0,3,20.0,0,5,1,0,8.05
13,14,0,3,39.0,0,5,1,6,4.4678571428571425
14,15,0,3,14.0,0,2,0,0,7.8542
15,16,1,2,55.0,0,5,0,0,16.0
16,17,0,3,2.0,0,5,1,5,4.854166666666667
17,18,1,2,28.0,0,5,1,0,13.0
18,19,0,3,31.0,0,5,0,1,9.0
19,20,1,3,28.0,0,5,0,0,7.225
20,21,0,2,35.0,0,5,1,0,26.0
21,22,1,2,34.0,3,5,1,0,13.0
22,23,1,3,15.0,0,2,0,0,8.0292
23,24,1,1,28.0,0,5,1,0,35.5
24,25,0,3,8.0,0,2,0,4,4.215
25,26,1,3,38.0,0,5,0,6,4.483928571428572
26,27,0,3,28.0,0,5,1,0,7.225
27,28,0,1,19.0,2,5,1,5,43.833333333333336
28,29,1,3,28.0,0,2,0,0,7.8792
29,30,0,3,28.0,0,5,1,0,7.8958
30,31,0,1,40.0,0,0,1,0,27.7208
31,32,1,1,28.0,1,5,0,1,73.2604
32,33,1,3,28.0,0,2,0,0,7.75
33,34,0,2,66.0,0,5,1,0,10.5
34,35,0,1,28.0,0,5,1,1,41.0854
35,36,0,1,42.0,0,5,1,1,26.0
36,37,1,3,28.0,0,5,1,0,7.2292
37,38,0,3,21.0,0,5,1,0,8.05
38,39,0,3,18.0,0,2,0,2,6.0
39,40,1,3,14.0,0,2,0,1,5.62085
40,41,0,3,40.0,0,5,0,1,4.7375
41,42,0,2,27.0,0,5,0,1,10.5
42,43,0,3,28.0,0,5,1,0,7.8958
43,44,1,2,3.0,0,2,0,3,10.3948
44,45,1,3,19.0,0,2,0,0,7.8792
45,46,0,3,28.0,0,5,1,0,8.05
46,47,0,3,28.0,0,5,1,1,7.75
47,48,1,3,28.0,0,2,0,0,7.75
48,49,0,3,28.0,0,5,1,2,7.226400000000001
49,50,0,3,18.0,0,5,0,1,8.9
50,51,0,3,7.0,0,5,1,5,6.614583333333333
51,52,0,3,21.0,0,5,1,0,7.8
52,53,1,1,49.0,3,5,0,1,38.3646
53,54,1,2,29.0,0,5,0,1,13.0
54,55,0,1,65.0,1,5,1,1,30.9896
55,56,1,1,28.0,2,5,1,0,35.5
56,57,1,2,21.0,0,2,0,0,10.5
57,58,0,3,28.5,0,5,1,0,7.2292
58,59,1,2,5.0,0,2,0,3,6.9375
59,60,0,3,11.0,0,5,1,7,5.8625
60,61,0,3,22.0,0,5,1,0,7.2292
61,62,1,1,38.0,1,2,0,0,80.0
62,63,0,1,45.0,2,5,1,1,41.7375
63,64,0,3,4.0,0,5,1,5,4.6499999999999995
64,65,0,1,28.0,0,5,1,0,27.7208
65,66,1,3,28.0,0,5,1,2,5.081933333333333
66,67,1,2,29.0,5,5,0,0,10.5
67,68,0,3,19.0,0,5,1,0,8.1583
68,69,1,3,17.0,0,2,0,6,1.1321428571428571
69,70,0,3,26.0,0,5,1,2,2.8874999999999997
70,71,0,2,32.0,0,5,1,0,10.5
71,72,0,3,16.0,0,2,0,7,5.8625
72,73,0,2,21.0,0,5,1,0,73.5
73,74,0,3,26.0,0,5,1,1,7.2271
74,75,1,3,32.0,0,5,1,0,56.4958
75,76,0,3,25.0,5,5,1,0,7.65
76,77,0,3,28.0,0,5,1,0,7.8958
77,78,0,3,28.0,0,5,1,0,8.05
78,79,1,2,0.83,0,5,1,2,9.666666666666666
79,80,1,3,30.0,0,2,0,0,12.475
80,81,0,3,22.0,0,5,1,0,9.0
81,82,1,3,29.0,0,5,1,0,9.5
82,83,1,3,28.0,0,2,0,0,7.7875
83,84,0,1,28.0,0,5,1,0,47.1
84,85,1,2,17.0,0,2,0,0,10.5
85,86,1,3,33.0,0,5,0,3,3.9625
86,87,0,3,16.0,0,5,1,4,6.875
